"message,"date-time","tick"
"Converted csv into array","2021-01-26 17:18:36.632924","1611677916.632924"
"Readed input(s) file","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted csv into array","2021-01-26 17:18:36.632924","1611677916.632924"
"Load users IDs","2021-01-26 17:18:36.632924","1611677916.632924"
"Getted all position where delete","2021-01-26 17:18:36.632924","1611677916.632924"
"Secret header elaborated","2021-01-26 17:18:36.632924","1611677916.632924"
"Secret body elaborated","2021-01-26 17:18:36.632924","1611677916.632924"
"Secret elaborated","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted array into csv","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted array into csv","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted array into csv","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted array into csv","2021-01-26 17:18:36.632924","1611677916.632924"
"Writed outputs","2021-01-26 17:18:36.632924","1611677916.632924"
"End","2021-01-26 17:18:36.632924","1611677916.632924"
"Start","2021-01-26 17:19:04.502981","1611677944.502981"
"Log inizialized","2021-01-26 17:19:04.502981","1611677944.502981"
"Readed configuration file","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted csv into array","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted csv into array","2021-01-26 17:19:04.502981","1611677944.502981"
"Readed input(s) file","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted csv into array","2021-01-26 17:19:04.502981","1611677944.502981"
"Load users IDs","2021-01-26 17:19:04.502981","1611677944.502981"
"Getted all position where delete","2021-01-26 17:19:04.502981","1611677944.502981"
"Secret header elaborated","2021-01-26 17:19:04.502981","1611677944.502981"
"Secret body elaborated","2021-01-26 17:19:04.502981","1611677944.502981"
"Secret elaborated","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted array into csv","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted array into csv","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted array into csv","2021-01-26 17:19:04.502981","1611677944.502981"
"Converted array into csv","2021-01-26 17:19:04.502981","1611677944.502981"
"Writed outputs","2021-01-26 17:19:04.502981","1611677944.502981"
"End","2021-01-26 17:19:04.502981","1611677944.502981"
"Start","2021-01-26 17:19:27.532123","1611677967.532123"
"Log inizialized","2021-01-26 17:19:27.532123","1611677967.532123"
"Readed configuration file","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted csv into array","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted csv into array","2021-01-26 17:19:27.532123","1611677967.532123"
"Readed input(s) file","2021-01-26 17:19:27.532123","1611677967.532123"
"Converted csv into array","2021-01-26 17:19:27.532123","1611677967.532123"
"Load users IDs","2021-01-26 17:19:27.532123","1611677967.532123"
"Getted all position where delete","2021-01-26 17:19:27.532123","1611677967.532123"
"Secret header elaborated","2021-01-26 17:19:27.532123","1611677967.532123"
