#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Hostname","ClientId","IPAddress"
"WKS0794.marconi.edu","74-2b-62-ed-26-a3","172.16.3.26"
"WKS0795.marconi.edu","74-2b-62-ed-20-69","172.16.3.27"
"WKS0797.marconi.edu","74-2b-62-ed-21-6e","172.16.3.29"
"WKS0798.marconi.edu","74-2b-62-ed-17-69","172.16.3.30"
"WKS0799.marconi.edu","74-2b-62-ed-24-74","172.16.3.31"
"WKS0800.marconi.edu","74-2b-62-ed-20-1e","172.16.3.32"
"WKS0801.marconi.edu","e8-6a-64-b5-5d-ec","172.16.3.33"
"WKS0802.marconi.edu","74-2b-62-ed-43-00","172.16.3.34"
"WKS0803.marconi.edu","74-2b-62-ec-df-ca","172.16.3.35"
"WKS0804.marconi.edu","74-2b-62-ec-e8-cd","172.16.3.36"
"WKS0806.marconi.edu","b4-a9-fc-d8-39-e5","172.16.3.38"
"WKS0807.marconi.edu","a0-66-10-09-e1-90","172.16.3.39"
"WKS0808.marconi.edu","b4-a9-fc-d8-39-c6","172.16.3.40"
"WKS0809.marconi.edu","74-2b-62-ed-5d-9e","172.16.3.41"
"WKS0810.marconi.edu","e8-6a-64-b5-5e-06","172.16.3.42"
"WKS0811.marconi.edu","e8-6a-64-b9-b1-61","172.16.3.43"
"WKS0812.marconi.edu","74-2b-62-ed-41-98","172.16.3.44"
"WKS0813.marconi.edu","e8-6a-64-aa-f2-01","172.16.3.45"
"WKS0814.marconi.edu","74-2b-62-f4-29-ef","172.16.3.46"
"WKS0845.marconi.edu","e8-6a-64-b5-58-b0","172.16.3.47"
"WKS0816.marconi.edu","e8-6a-64-aa-f1-5f","172.16.3.48"
"WKS0818.marconi.edu","a0-66-10-09-e0-cd","172.16.3.50"
"WKS0820.marconi.edu","74-2b-62-ec-db-fa","172.16.3.52"
"WKS0822.marconi.edu","74-2b-62-f4-0f-9b","172.16.3.54"
"WKS0824.marconi.edu","54-ee-75-f4-ac-36","172.16.3.56"
"WKS0825.marconi.edu","74-2b-62-f4-25-8e","172.16.3.57"
"WKS0826.marconi.edu","54-ee-75-e9-90-ba","172.16.3.58"
"WKS0827.marconi.edu","74-2b-62-ed-42-eb","172.16.3.59"
"WKS0380.marconi.edu","e0-18-77-c9-ad-6d","172.16.3.62"
"WKS0831.marconi.edu","48-2a-e3-1b-99-2f","172.16.3.63"
"WKS0833.marconi.edu","74-2b-62-ed-33-12","172.16.3.65"
"WKS0834.marconi.edu","74-2b-62-f4-24-a9","172.16.3.66"
"WKS0835.marconi.edu","e0-18-77-c9-44-04","172.16.3.67"
"WKS0836.marconi.edu","e0-18-77-c1-24-58","172.16.3.68"
"WKS0838.marconi.edu","e0-18-77-c9-ad-4d","172.16.3.70"
"WKS0839.marconi.edu","e0-18-77-c3-f7-b1","172.16.3.71"
"WKS0840.marconi.edu","e0-18-77-c9-ab-12","172.16.3.72"
"WKS0841.marconi.edu","e0-18-77-c9-a4-7e","172.16.3.73"
"WKS0842.marconi.edu","e0-18-77-c9-b5-cf","172.16.3.74"
"WKS0843.marconi.edu","e0-18-77-c9-7f-e1","172.16.3.75"
"WKS0844.marconi.edu","e0-18-77-c1-1b-0c","172.16.3.76"
"WKS0846.marconi.edu","e0-18-77-c3-1d-3e","172.16.3.78"
"WKS0849.marconi.edu","e0-18-77-c1-84-20","172.16.3.81"
"WKS0850.marconi.edu","54-ee-75-e9-c6-12","172.16.3.82"
"WKS0851.marconi.edu","a0-66-10-09-e2-31","172.16.3.83"
"WKS0852.marconi.edu","a0-66-10-09-e2-88","172.16.3.84"
"WKS0853.marconi.edu","74-2b-62-ec-db-38","172.16.3.85"
"WKS0854.marconi.edu","a0-66-10-09-e0-7d","172.16.3.86"
"WKS0855.marconi.edu","e0-18-77-c9-ad-c2","172.16.3.87"
"WKS0856.marconi.edu","a0-66-10-09-df-e8","172.16.3.88"
"WKS0857.marconi.edu","e0-18-77-c1-7e-23","172.16.3.89"
"WKS0859.marconi.edu","74-2b-62-ec-d2-c4","172.16.3.91"
"WKS0860.marconi.edu","e0-18-77-c3-1d-bf","172.16.3.92"
"WKS0863.marconi.edu","e0-18-77-c2-bf-49","172.16.3.95"
"WKS0864.marconi.edu","e0-18-77-cb-82-06","172.16.3.96"
"WKS0866.marconi.edu","e8-6a-64-aa-f0-96","172.16.3.98"
