PCname,User,Category,Type,CategoryString,EventCode,EventIdentifier,EventType,Logfile,RecordNumber,Date_local,Date_universal_microsecond
"localhost","None","0","Error","None","100","100","1","Application","79041","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79040","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79039","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79038","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79037","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79036","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","101","Error","None","1002","1002","1","Application","79022","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","1","Error","Gestore virtualizzazione client","100","1073741924","1","Application","78992","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78958","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78957","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78956","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78955","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78954","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78953","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78952","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78951","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78950","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78949","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","100","Error","Application Crashing Events","1000","1000","1","Application","78798","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78778","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78777","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78776","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","78775","2020-12-12 20:43:54.948285","1607802234.948285"
